sample,t_outer,t_inner_side,t_inner_middle,height,width,sigma0,youngs
 89,2.65,1.75,1.71,75.30,128.51,271.36,70111.7
 90,2.89,1.83,1.78,75.37,127.92,260.34,74948.4
 91,2.85,2.22,1.32,75.34,127.63,244.89,64297.2
 92,2.69,1.89,1.77,76.23,128.32,268.92,68092.5
 93,2.52,2.05,1.64,75.83,128.30,290.31,73222.0
 94,2.54,2.07,1.44,76.49,127.72,276.97,67670.0
 95,2.83,1.74,1.66,75.77,127.90,261.64,66194.6
 96,2.72,1.78,1.38,76.53,128.13,241.75,73459.5
 97,2.90,1.79,1.38,76.27,127.34,241.28,74788.9
 98,2.54,2.03,1.48,75.79,127.33,279.97,72400.1
 99,2.78,2.10,1.54,75.84,127.80,273.45,68819.7
100,2.52,2.11,1.43,76.37,128.15,264.04,65455.5
