outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_max_force
2.9,1.79,1.79,75.24,127.69,290.72,68934.3,35.75592335183815
2.83,1.9,1.39,75.31,127.86,248.11,66562.0,29.79984665741695
2.51,2.27,1.38,76.12,127.62,257.26,70526.4,28.031199093721355
2.73,2.08,1.45,75.33,127.83,240.8,71263.6,29.229848314761128
2.56,2.28,1.44,76.24,127.74,265.78,63292.4,29.09733179147311
2.87,2.22,1.68,75.9,128.03,279.34,74277.2,36.517632077380384
2.83,1.78,1.37,75.91,127.39,285.45,69938.0,32.503227203220334
2.75,1.99,1.37,76.34,128.53,279.73,69727.6,32.006208342064
2.81,2.17,1.26,76.08,127.77,292.37,73968.1,34.49408347142908
2.58,1.75,1.71,75.33,127.91,271.66,68557.8,28.958174327757277
2.87,2.16,1.7,75.36,127.69,253.89,66990.0,33.29897314699822
2.82,2.24,1.39,76.31,128.37,292.45,66887.0,35.14928869670128
2.55,2.29,1.53,75.35,128.41,285.21,75684.6,32.24802899782897
2.8,2.04,1.7,75.41,128.39,273.94,65230.6,33.483476846042734
2.54,1.84,1.36,76.14,128.19,287.93,71281.6,28.80408967958256
2.72,2.11,1.62,76.27,128.0,266.89,68420.0,32.00361814993751
2.61,2.14,1.58,75.6,127.99,251.27,65357.2,28.80050003723143
2.65,2.03,1.66,75.56,128.0,259.03,76087.0,30.73642323618806
2.78,2.16,1.7,75.86,128.42,252.43,65903.3,32.024744318895
2.52,1.91,1.38,76.3,127.76,276.11,75427.4,28.32113670675649
2.89,2.26,1.21,76.16,128.56,290.74,67417.7,35.39981063539422
2.68,2.25,1.64,76.43,127.75,285.18,76380.7,34.3246421731413
2.52,2.04,1.23,76.06,128.53,254.56,70863.4,26.420145056501113
2.6,1.7,1.4,75.86,128.33,243.83,68267.3,25.567892753702907
2.77,1.97,1.78,75.62,127.67,246.35,65984.5,30.746837929692745
2.86,2.0,1.32,75.85,128.36,240.99,75200.2,30.519017990112005
2.68,1.99,1.75,75.69,128.41,266.22,73248.5,31.77857524622796
2.7,1.74,1.25,75.85,127.36,245.92,70340.4,26.889382653601345
2.62,2.09,1.74,75.32,127.75,275.5,63718.4,31.140972865872826
2.72,1.74,1.37,76.4,127.75,276.84,72616.3,30.270415499644585
2.87,1.8,1.79,75.57,127.41,251.2,74030.8,32.495451933135726
2.55,1.79,1.25,75.86,128.14,285.33,63731.7,27.425258968926826
2.72,2.11,1.61,75.38,127.78,245.75,70565.5,30.24408981003394
2.53,2.16,1.5,75.28,128.08,274.86,73696.3,30.106307486498125
2.65,1.88,1.72,75.33,127.75,266.67,75227.5,30.819042316733956
2.88,2.15,1.48,75.4,127.86,268.16,71820.5,34.11376016232107
2.54,2.2,1.6,75.99,127.76,247.42,63892.0,27.723791140956067
2.73,2.06,1.67,76.38,127.66,282.71,69491.0,33.52072416982817
2.81,1.86,1.46,75.99,127.98,284.7,68630.3,32.92246690386362
2.51,2.22,1.79,76.48,128.44,261.85,73557.6,30.209566244473947
2.77,1.81,1.5,75.76,128.2,279.15,74133.8,32.26408510307381
2.59,1.98,1.6,75.7,128.39,254.08,70499.5,28.54458043116786
2.56,2.12,1.37,76.0,128.59,293.27,72071.0,31.138607385767457
2.82,2.13,1.57,75.38,128.34,292.46,63970.9,35.0581550308096
2.76,2.2,1.51,76.33,128.15,240.93,74483.7,30.749306651009377
2.85,2.06,1.79,76.0,128.3,280.08,67012.7,35.51487192183659
2.85,2.05,1.38,75.38,127.77,285.56,64358.6,33.58288969210976
2.57,1.79,1.28,75.9,127.35,276.12,65505.1,27.20592589390874
2.8,1.96,1.23,75.59,127.5,240.57,71861.8,28.809110915681075
2.88,2.28,1.78,76.26,127.69,269.59,68558.3,36.0736214971857
2.87,2.2,1.58,75.97,127.36,264.96,72029.1,34.40105863826132
2.55,1.96,1.45,75.4,128.27,279.18,64038.9,28.681592544792423
2.53,2.24,1.21,75.69,127.54,286.15,69285.4,29.59516513475826
2.7,2.02,1.41,76.36,128.22,288.19,76419.0,32.758144799487084
2.51,2.13,1.78,75.81,127.63,241.09,73241.4,28.024729630756795
2.86,2.24,1.32,75.37,128.04,247.76,72078.7,31.829181716252222
2.78,1.89,1.76,76.51,128.2,248.86,64698.0,30.69746717401729
2.6,1.79,1.46,75.83,127.36,241.32,72484.0,26.352560869716925
2.57,2.06,1.57,76.25,128.39,273.14,67574.3,29.79296635311114
2.81,1.84,1.67,76.24,127.38,275.82,76871.0,33.68080890269944
2.63,1.92,1.67,76.52,128.36,280.03,63140.6,30.609940224695336
2.81,2.18,1.77,75.22,128.08,281.51,65474.5,35.164289077691095
2.64,2.27,1.41,76.15,128.1,262.55,71120.8,30.538387463832308
2.63,1.81,1.62,75.28,127.66,256.25,76149.9,28.99517557187069
2.82,1.92,1.21,75.38,127.87,249.82,71036.1,29.539477880305483
2.83,1.81,1.39,75.28,127.22,251.19,66502.5,29.565545269535576
2.77,1.76,1.44,75.26,127.25,270.78,76715.2,31.130738734318882
2.65,2.05,1.29,75.23,127.78,293.15,72189.9,31.609218268092903
2.74,1.86,1.51,75.84,127.23,290.77,76825.8,33.14628075317883
2.62,1.72,1.25,76.45,128.37,245.43,71912.7,25.70954698493911
2.74,2.25,1.21,75.59,127.46,263.59,64886.1,30.423125341532185
2.62,2.01,1.38,76.32,127.41,270.22,70722.4,29.38495739112234
2.77,2.15,1.56,75.56,128.17,261.67,65998.3,31.964034529647122
2.82,2.09,1.51,75.5,128.49,286.96,68671.0,34.61590343769849
2.62,1.92,1.6,75.93,128.22,265.79,70151.7,29.599607495686158
2.78,1.89,1.65,76.04,128.05,257.04,70219.0,31.295134363006312
2.82,2.09,1.37,75.48,128.28,272.75,75845.7,33.32854270954597
2.55,2.16,1.52,75.62,127.26,278.99,69834.6,30.273252738464024
2.55,2.11,1.33,75.28,127.7,263.18,73741.1,28.44761760218337
2.87,1.98,1.28,75.67,128.2,254.22,67240.3,30.93643862993038
2.71,1.77,1.58,75.27,127.4,283.69,72257.3,31.596529700865247
2.63,1.72,1.41,76.37,128.42,249.81,73706.7,26.951047723315313
2.5,2.09,1.39,75.32,128.03,263.32,73433.8,27.945817214540583
2.54,2.08,1.55,75.53,128.57,285.01,68855.1,30.5131680569785
2.72,2.24,1.52,75.35,127.62,271.18,75198.2,32.95336371194237
2.72,2.18,1.24,76.08,127.81,274.71,65620.3,31.029549474869967
2.7,1.89,1.49,75.82,127.24,291.03,69837.5,32.00438885828892
2.6,1.75,1.59,75.22,127.58,268.12,64570.0,28.05666538932401
2.51,1.92,1.21,75.52,128.55,264.72,64412.3,25.96353435260751
2.86,1.9,1.39,75.46,127.71,253.7,67114.5,30.73250335025837
2.79,1.85,1.58,75.58,128.17,242.06,71304.6,29.72106796920123
2.74,2.05,1.55,76.34,127.54,246.75,71139.8,30.19839611796324
2.68,1.94,1.56,75.96,128.16,240.98,65792.9,28.013111008796344
2.55,1.94,1.46,75.52,128.49,264.38,65851.5,27.665904908195856
2.88,2.26,1.47,76.0,127.42,250.54,76238.1,33.36980083193289
2.82,2.3,1.68,75.97,127.86,242.35,76421.9,32.984355900712856
2.84,2.05,1.74,75.61,127.72,275.38,70366.3,34.80002291005333
2.57,2.23,1.62,76.06,127.62,284.45,71345.9,31.999481048998362
2.86,1.89,1.34,75.67,127.64,256.67,76262.9,31.457259726196483
2.87,1.93,1.71,76.09,127.67,267.61,66408.1,33.64981633537464
2.84,2.13,1.7,76.26,127.37,258.53,72347.5,33.74034061340099
2.85,2.05,1.27,76.52,128.14,256.81,64775.2,31.027951962124078
2.76,1.72,1.34,75.65,127.29,241.32,66371.4,27.3145780955319
2.75,1.82,1.26,76.39,127.28,257.82,69184.9,28.829394312765274
2.89,2.28,1.75,75.25,128.41,290.82,67850.8,37.806409289781826
2.88,1.81,1.3,75.8,128.3,279.12,65689.8,32.36376097743751
2.79,1.7,1.28,75.97,128.59,259.78,75364.1,29.618096606592943
2.8,1.92,1.45,75.7,127.77,292.35,67546.1,33.45909744331307
2.84,1.74,1.7,76.1,127.63,248.22,75376.9,31.345703875507823
2.72,1.84,1.28,76.2,127.69,248.6,71722.9,28.054686692627413
2.72,1.84,1.34,75.89,128.11,288.87,71376.7,31.51720642218045
2.6,1.78,1.43,75.3,127.81,288.31,70427.3,29.644821166895966
2.7,1.99,1.61,76.38,128.47,273.24,66459.3,31.500645600792794
2.78,1.92,1.7,76.36,127.31,253.26,71887.7,31.465675457330875
2.6,2.19,1.34,75.37,127.85,256.76,63092.9,28.131370191890326
2.87,2.25,1.45,75.27,128.56,281.1,69216.6,35.332684110166795
2.71,2.25,1.77,75.5,127.87,274.36,75457.9,34.36043364334883
2.82,1.77,1.77,75.89,128.07,265.2,67494.2,32.317453995443955
2.65,2.07,1.57,76.27,128.36,285.91,67109.6,32.04525411417394
2.58,2.12,1.54,75.8,127.33,257.74,74976.5,29.39367908483196
2.8,1.73,1.48,75.46,128.12,242.33,63982.3,28.37439715468436
2.8,1.86,1.46,76.27,127.41,261.6,68346.2,30.829940613468878
2.6,1.98,1.37,76.57,128.55,256.15,67906.4,27.64399305258526
2.79,1.97,1.44,75.28,127.75,289.09,69674.7,33.35083406223869
2.51,2.06,1.26,76.04,127.59,284.29,70500.6,28.60238186948716
2.71,2.0,1.75,76.49,127.84,261.78,63192.5,31.061269548304793
2.76,1.92,1.42,75.24,128.42,261.59,63231.5,29.9320625826834
2.72,2.1,1.78,75.9,127.89,257.45,74958.7,32.37156890143474
2.83,2.23,1.51,76.13,127.89,271.13,73311.8,34.396952761863034
2.63,1.75,1.28,76.21,127.45,248.33,72915.2,26.43835296403195
2.7,2.17,1.28,76.46,127.72,255.42,70598.4,29.693862152309023
2.84,1.81,1.5,75.55,127.64,279.88,65012.8,32.48049617510806
2.55,1.98,1.42,75.24,128.0,257.76,70115.0,27.497609189023322
2.51,1.94,1.29,75.89,128.16,244.1,63487.8,24.64951889929314
2.57,1.78,1.39,75.3,128.14,276.12,72840.4,28.374614393111372
2.6,2.09,1.36,76.44,128.18,282.86,69312.0,30.35353502139283
2.82,2.18,1.38,76.01,128.22,285.99,68275.3,34.34692904274648
2.77,1.97,1.49,76.11,127.33,275.83,63299.7,31.695934578924565
2.77,1.9,1.34,75.9,127.53,268.7,69197.1,30.665235131101284
2.7,2.28,1.32,76.06,128.4,277.66,68865.5,32.191147926386364
2.6,2.2,1.65,76.39,128.21,279.26,64620.1,31.500497156734426
2.78,1.88,1.66,75.49,127.91,274.48,70102.8,32.67156323900606
2.74,2.13,1.66,75.9,127.26,265.52,71818.6,32.60651729666729
2.58,1.94,1.58,75.76,127.32,256.95,74746.5,28.65532937225653
2.89,2.14,1.61,76.33,127.3,266.92,72602.1,34.833715565158926
2.7,2.18,1.6,76.47,128.02,242.05,66240.8,29.67992413548832
2.85,1.95,1.56,75.31,127.61,245.13,73317.4,31.241521149955773
2.79,2.24,1.74,75.88,128.29,244.26,76767.6,32.792507985439286
2.52,2.13,1.49,76.1,128.16,256.04,69032.3,27.806392708718207
2.83,2.23,1.63,75.46,128.21,262.36,66349.4,33.55595559152387
2.62,1.7,1.66,76.22,127.38,289.59,73314.9,30.893931232350567
2.6,2.03,1.61,75.29,127.69,288.56,69579.7,31.57571395586315
2.53,2.1,1.24,75.79,127.25,286.7,73632.3,29.416637341635422
2.62,2.09,1.54,76.18,127.64,271.94,71232.0,30.680464935825356
2.83,1.74,1.58,76.36,128.31,258.63,73941.4,31.457541440336698
2.74,2.27,1.36,76.58,127.63,251.72,73138.0,30.913748139436123
2.75,1.99,1.64,76.18,128.55,286.25,70212.9,33.80739261435322
2.77,1.78,1.54,75.55,127.61,268.97,72917.9,31.282170958973055
2.55,1.84,1.59,75.87,128.35,281.81,64029.4,28.8730526392513
2.76,2.1,1.64,75.52,127.43,289.49,64044.6,33.90103402343364
2.7,1.86,1.49,76.53,128.47,288.17,63776.8,31.31482414391037
2.62,2.15,1.77,76.03,127.97,242.13,64560.8,28.98513623571462
2.61,1.84,1.46,75.37,127.77,269.97,72226.4,28.94724502206084
2.65,2.12,1.29,76.17,128.12,275.21,64713.9,29.966179562211053
2.58,2.3,1.54,76.08,128.17,258.63,64462.2,29.51253834503241
2.63,2.19,1.27,75.68,128.32,281.62,65996.1,30.59994332308061
2.53,1.89,1.62,76.49,128.5,291.5,76187.5,30.71111337528744
2.84,1.84,1.26,76.31,127.98,256.31,68295.7,30.097853697763483
2.86,1.96,1.3,75.54,128.15,245.72,74813.3,30.601499193036332
2.86,1.76,1.66,75.82,127.3,243.95,76849.4,31.246624011769384
2.62,2.16,1.43,75.58,128.41,266.65,76145.6,30.644425118875077
2.79,2.24,1.6,76.11,127.84,250.03,65779.9,31.835560186938395
2.52,1.94,1.4,76.35,128.53,243.22,73038.5,25.806586929221183
2.53,2.17,1.55,75.4,128.29,261.98,70928.2,29.10343850749696
2.5,1.83,1.73,75.97,128.33,286.77,69589.1,29.557567550712363
2.52,1.72,1.21,75.73,127.56,241.85,74067.7,24.16911547839466
2.78,1.93,1.21,75.21,128.29,278.12,64527.7,30.828698165179233
2.55,1.72,1.61,75.48,127.98,293.69,65502.8,29.353269243729486
2.68,2.08,1.64,75.26,127.88,271.37,63182.2,31.14995873538585
2.5,2.0,1.68,75.74,127.45,280.91,64148.8,29.128437794703544
2.85,2.17,1.74,75.61,128.26,285.83,63043.4,35.85469516555618
2.89,1.97,1.51,75.9,128.28,240.69,76508.9,31.642679521910466
2.88,1.76,1.23,76.48,127.89,257.36,63334.8,29.949941167400155
2.53,2.25,1.43,76.06,127.24,242.25,74789.7,27.560347570446837
2.65,2.09,1.23,76.23,128.03,280.16,64283.4,29.901971573840186
2.9,2.04,1.49,76.42,127.79,261.14,65785.9,33.055981217697834
2.69,1.76,1.25,76.51,127.89,268.96,66259.1,28.302440744455865
2.84,1.96,1.6,75.85,127.39,280.0,67752.8,33.89045741882326
2.75,2.23,1.79,76.55,127.98,264.1,70057.1,33.6849448034787
2.7,2.21,1.4,76.35,128.09,259.02,73523.7,30.953163165735603
2.6,2.11,1.2,76.15,127.26,240.66,76043.0,26.940153394392453
2.9,2.27,1.52,75.86,128.54,247.55,67777.2,33.158904879219406
2.63,1.97,1.28,76.18,127.47,258.52,70416.4,28.007079571560055
2.62,2.11,1.77,76.27,127.36,274.77,73381.4,32.21446417605655
2.71,2.08,1.44,76.06,127.64,283.82,76273.9,32.894417560504806
2.69,2.25,1.74,76.18,128.08,277.09,71424.3,33.90292238585296
2.83,2.24,1.74,75.87,127.39,250.01,65290.1,32.86524059251151
2.69,1.89,1.21,75.76,127.37,283.66,74065.1,30.440540739527663
2.53,1.89,1.32,75.63,127.35,273.66,66509.2,27.17032105948563
2.69,1.7,1.4,76.11,127.62,289.69,70055.4,30.53252421730504
2.83,2.24,1.26,75.71,128.59,282.06,68750.7,34.008652115690396
2.52,2.29,1.27,75.54,127.41,270.88,70246.5,28.84344357442849
2.9,1.81,1.63,76.47,128.4,260.77,65226.1,32.619557068962266
2.68,1.96,1.44,75.67,127.43,249.89,64534.8,28.150355254437798
2.55,2.1,1.58,75.71,128.35,254.41,63383.1,27.898852705832113
2.64,1.82,1.47,76.22,127.86,249.67,72478.8,27.73039814569809
2.6,2.2,1.33,75.45,127.65,242.03,65007.7,27.11870615170649
2.72,2.24,1.43,76.48,128.03,275.95,65756.3,32.29915719992967
2.51,1.81,1.66,76.02,127.38,255.16,65663.2,26.467376931461857
2.74,2.14,1.42,76.12,128.21,277.72,68532.2,32.491053035112216
2.85,2.19,1.77,75.68,127.26,257.62,63481.6,33.49210494019458
2.57,2.06,1.6,75.99,127.28,270.08,68589.3,29.6463862538737
2.71,1.91,1.21,75.5,128.39,243.82,66978.6,27.273467806287456
2.59,2.23,1.52,76.32,128.05,267.4,65314.1,29.99559586257108
2.7,2.27,1.39,76.24,127.4,246.24,76347.5,30.246440068056884
2.75,1.79,1.73,76.45,127.81,246.23,71349.8,29.945924909905514
2.7,1.96,1.65,76.36,128.08,293.71,72504.8,33.69693226032389
2.86,2.18,1.2,75.73,127.3,269.26,72764.0,32.83116246331549
2.76,2.17,1.43,75.87,127.59,249.24,71630.3,30.710853650255743
2.55,1.75,1.45,76.05,127.72,247.21,75605.6,26.109628710463724
2.86,1.73,1.2,75.93,127.94,288.82,66532.0,32.05925729651956
2.88,1.86,1.59,75.69,127.66,258.62,64574.2,31.942087356430378
2.58,1.9,1.57,75.45,128.51,273.24,66340.1,29.09633735930636
2.72,1.83,1.53,75.72,128.2,266.28,68172.5,30.205758501073845
2.82,2.04,1.72,75.38,127.5,283.27,64266.2,34.369423928881886
2.84,2.22,1.7,75.65,128.02,241.72,69458.1,32.387703292382824
2.7,1.95,1.72,75.24,127.91,272.16,64770.6,31.38829273660106
2.53,2.29,1.37,75.42,127.38,265.43,73875.8,29.298672103302764
2.54,1.86,1.49,76.13,127.24,259.91,72087.8,27.31643736070619
2.69,2.07,1.32,75.64,128.22,244.16,73817.1,28.66266837341705
2.78,2.22,1.58,75.66,127.75,262.1,69750.1,32.80374220613881
2.74,1.99,1.51,76.07,127.84,277.85,75997.5,32.74396651944353
2.89,2.05,1.47,76.07,127.82,261.92,68290.2,33.07658354764733
2.78,2.09,1.27,76.08,127.58,245.04,69672.5,29.497054827313107
2.68,2.06,1.51,75.55,128.11,279.02,75428.5,32.28433302350193
2.83,2.04,1.46,76.6,127.39,275.24,70138.4,33.35857970214916
2.79,1.79,1.48,75.65,127.73,256.98,69053.8,30.090139306901122
2.69,2.3,1.73,75.76,128.26,292.17,68246.8,35.115161538877445
2.61,2.19,1.49,76.54,128.51,275.58,76594.9,31.58294896824698
2.76,2.17,1.34,76.56,128.32,263.94,69434.0,31.50405712676634
2.68,1.82,1.6,75.37,128.58,245.55,74760.5,28.682434285229377
2.76,1.77,1.48,75.58,128.21,285.29,68985.0,31.894580382897928
2.9,1.74,1.47,75.99,128.25,265.05,75749.7,32.663005068436135
2.53,2.26,1.31,76.36,128.57,241.29,67258.2,26.544354842813235
2.78,2.09,1.31,75.25,127.41,268.49,75212.1,31.902076893331085
2.66,1.83,1.77,75.31,127.44,253.22,63834.3,28.81581896214648
2.87,1.99,1.76,75.77,128.14,253.33,70555.0,33.21084596960118
2.68,2.28,1.22,75.58,127.52,261.23,63351.5,29.464169784107938
2.63,2.08,1.51,75.31,128.53,257.19,66576.5,29.164150668199866
2.74,2.07,1.3,76.14,128.0,271.29,71568.9,31.317703660060445
2.77,1.9,1.79,76.17,128.2,264.05,64731.8,31.99092814633441
2.69,2.28,1.61,75.26,128.12,292.72,69405.2,34.52304890912599
2.84,1.79,1.5,75.92,127.52,260.7,72195.6,31.473159627631915
2.56,1.75,1.65,76.04,127.73,258.19,71902.0,27.63544765903437
2.88,1.93,1.24,76.15,127.36,255.69,66704.9,30.72926792393828
2.81,2.09,1.46,75.53,127.34,246.86,75039.9,31.166297384878547
2.55,2.03,1.42,75.38,128.34,261.29,63662.2,27.497294798029387
2.59,1.8,1.4,76.36,128.55,247.3,72710.5,26.435725759847244
2.61,1.79,1.22,75.93,128.53,285.62,73522.6,29.096342819813074
2.9,2.08,1.77,75.28,127.89,260.99,74480.5,34.9315273937661
2.75,1.76,1.66,75.43,127.5,290.21,73363.0,33.16189666306521
2.9,1.72,1.47,76.15,128.05,289.84,63042.2,33.65575252664287
2.61,2.21,1.53,75.69,128.28,279.32,72732.3,31.919877871593215
2.77,2.12,1.43,76.19,128.25,280.16,63459.9,32.67335922181674
2.67,1.86,1.21,76.54,128.07,242.82,66467.2,26.32426248913687
2.72,2.15,1.61,75.44,127.97,241.15,64993.9,29.60473562017701
2.56,2.15,1.34,76.43,127.97,273.33,76115.4,29.739823731247228
2.68,1.95,1.37,76.47,128.12,268.05,71488.9,29.898243757402
2.9,2.2,1.55,76.55,127.58,247.55,63977.6,32.69262380912478
2.6,1.99,1.23,76.07,127.66,270.8,63292.6,27.83380697556568
2.52,1.92,1.69,76.57,127.38,288.24,63453.4,29.551718984569405
2.6,1.82,1.49,75.23,128.31,278.99,63416.1,28.81337158796869
2.6,2.19,1.71,75.72,128.19,279.82,65742.5,31.87046798440811
2.59,1.97,1.34,76.23,128.4,293.58,76521.4,31.021381646850685
2.65,1.73,1.33,75.91,127.73,247.63,70361.7,26.592067909778578
2.84,2.23,1.61,76.01,128.43,259.01,75273.5,34.123990000668485
2.74,2.2,1.6,76.14,127.26,266.03,72811.1,32.79393707362665
2.86,2.27,1.5,75.39,127.77,248.81,71542.5,32.71321854755975
2.64,2.02,1.46,75.72,127.79,288.87,73461.9,31.863775455501994
2.8,1.96,1.24,75.35,128.51,287.53,63388.8,32.10268810292139
2.69,1.78,1.27,76.59,127.44,264.85,67935.1,28.25998520319395
2.62,1.89,1.67,76.31,128.31,288.69,64712.7,31.13640731342896
2.78,2.14,1.72,75.35,127.75,255.78,76874.2,33.04924473645026
2.72,1.72,1.39,76.06,127.61,270.67,75201.6,29.97702204215348
2.69,2.02,1.61,75.51,128.38,260.48,75640.3,31.149701201196493
2.5,1.88,1.23,76.06,127.45,285.57,67019.5,27.21494211584134
2.78,2.08,1.8,76.56,127.89,290.48,65764.8,35.37480916094121
2.72,2.22,1.58,75.83,127.53,287.02,66417.5,33.702479902338226
2.66,2.09,1.29,76.23,128.11,282.62,64980.6,30.572396258867073
2.57,2.11,1.39,75.44,128.07,255.64,69601.8,28.060688358631253
2.57,2.02,1.24,75.89,128.14,253.88,65192.4,26.543461573905645
2.81,1.75,1.33,75.55,128.44,241.47,63919.8,27.988706043817913
2.52,2.08,1.5,75.41,128.59,291.78,68975.9,30.56757096681197
