sample,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
 67,2.53,2.12,1.58,76.58,127.72,262.34,63330.3
 68,2.73,1.87,1.30,75.86,128.04,244.44,72863.8
 69,2.67,2.12,1.78,75.65,127.58,273.86,69416.9
 70,2.62,2.21,1.57,75.29,127.31,290.90,71940.5
 71,2.66,2.17,1.59,76.03,127.60,259.79,64273.1
 72,2.78,2.29,1.54,75.59,127.93,252.21,71829.7
 73,2.84,2.27,1.70,75.31,127.85,292.32,68993.4
 74,2.53,2.29,1.27,75.61,127.73,286.68,69445.4
 75,2.88,1.78,1.78,76.26,128.38,259.91,65429.3
 76,2.79,1.84,1.57,76.50,128.26,262.63,64403.6
 77,2.71,2.27,1.52,75.80,127.71,259.25,71578.8
 78,2.67,2.12,1.49,76.55,128.47,284.38,69369.0
 79,2.87,1.89,1.45,75.51,128.19,293.62,68353.7
 80,2.71,2.07,1.67,76.00,128.15,272.24,71569.0
 81,2.75,2.21,1.26,75.79,128.52,255.72,69239.9
 82,2.67,1.80,1.28,75.47,127.66,246.78,70630.4
 83,2.90,1.79,1.79,75.24,127.69,290.72,68934.3
 84,2.83,1.90,1.39,75.31,127.86,248.11,66562.0
 85,2.51,2.27,1.38,76.12,127.62,257.26,70526.4
 86,2.73,2.08,1.45,75.33,127.83,240.80,71263.6
 87,2.56,2.28,1.44,76.24,127.74,265.78,63292.4
 88,2.87,2.22,1.68,75.90,128.03,279.34,74277.2
 89,2.83,1.78,1.37,75.91,127.39,285.45,69938.0
 90,2.75,1.99,1.37,76.34,128.53,279.73,69727.6
 91,2.81,2.17,1.26,76.08,127.77,292.37,73968.1
 92,2.58,1.75,1.71,75.33,127.91,271.66,68557.8
 93,2.87,2.16,1.70,75.36,127.69,253.89,66990.0
 94,2.82,2.24,1.39,76.31,128.37,292.45,66887.0
 95,2.55,2.29,1.53,75.35,128.41,285.21,75684.6
 96,2.80,2.04,1.70,75.41,128.39,273.94,65230.6
 97,2.54,1.84,1.36,76.14,128.19,287.93,71281.6
 98,2.72,2.11,1.62,76.27,128.00,266.89,68420.0
 99,2.61,2.14,1.58,75.60,127.99,251.27,65357.2
100,2.65,2.03,1.66,75.56,128.00,259.03,76087.0
101,2.78,2.16,1.70,75.86,128.42,252.43,65903.3
102,2.52,1.91,1.38,76.30,127.76,276.11,75427.4
103,2.89,2.26,1.21,76.16,128.56,290.74,67417.7
104,2.68,2.25,1.64,76.43,127.75,285.18,76380.7
105,2.52,2.04,1.23,76.06,128.53,254.56,70863.4
106,2.60,1.70,1.40,75.86,128.33,243.83,68267.3
107,2.77,1.97,1.78,75.62,127.67,246.35,65984.5
108,2.86,2.00,1.32,75.85,128.36,240.99,75200.2
109,2.68,1.99,1.75,75.69,128.41,266.22,73248.5
110,2.70,1.74,1.25,75.85,127.36,245.92,70340.4
111,2.62,2.09,1.74,75.32,127.75,275.50,63718.4
112,2.72,1.74,1.37,76.40,127.75,276.84,72616.3
113,2.87,1.80,1.79,75.57,127.41,251.20,74030.8
114,2.55,1.79,1.25,75.86,128.14,285.33,63731.7
115,2.72,2.11,1.61,75.38,127.78,245.75,70565.5
116,2.53,2.16,1.50,75.28,128.08,274.86,73696.3
117,2.65,1.88,1.72,75.33,127.75,266.67,75227.5
118,2.88,2.15,1.48,75.40,127.86,268.16,71820.5
119,2.54,2.20,1.60,75.99,127.76,247.42,63892.0
120,2.73,2.06,1.67,76.38,127.66,282.71,69491.0
121,2.81,1.86,1.46,75.99,127.98,284.70,68630.3
122,2.51,2.22,1.79,76.48,128.44,261.85,73557.6
123,2.77,1.81,1.50,75.76,128.20,279.15,74133.8
124,2.59,1.98,1.60,75.70,128.39,254.08,70499.5
125,2.56,2.12,1.37,76.00,128.59,293.27,72071.0
126,2.82,2.13,1.57,75.38,128.34,292.46,63970.9
127,2.76,2.20,1.51,76.33,128.15,240.93,74483.7
128,2.85,2.06,1.79,76.00,128.30,280.08,67012.7
129,2.85,2.05,1.38,75.38,127.77,285.56,64358.6
130,2.57,1.79,1.28,75.90,127.35,276.12,65505.1
131,2.80,1.96,1.23,75.59,127.50,240.57,71861.8
132,2.88,2.28,1.78,76.26,127.69,269.59,68558.3
133,2.87,2.20,1.58,75.97,127.36,264.96,72029.1
134,2.55,1.96,1.45,75.40,128.27,279.18,64038.9
135,2.53,2.24,1.21,75.69,127.54,286.15,69285.4
136,2.70,2.02,1.41,76.36,128.22,288.19,76419.0
137,2.51,2.13,1.78,75.81,127.63,241.09,73241.4
138,2.86,2.24,1.32,75.37,128.04,247.76,72078.7
139,2.78,1.89,1.76,76.51,128.20,248.86,64698.0
140,2.60,1.79,1.46,75.83,127.36,241.32,72484.0
141,2.57,2.06,1.57,76.25,128.39,273.14,67574.3
142,2.81,1.84,1.67,76.24,127.38,275.82,76871.0
143,2.63,1.92,1.67,76.52,128.36,280.03,63140.6
144,2.81,2.18,1.77,75.22,128.08,281.51,65474.5
145,2.64,2.27,1.41,76.15,128.10,262.55,71120.8
146,2.63,1.81,1.62,75.28,127.66,256.25,76149.9
147,2.82,1.92,1.21,75.38,127.87,249.82,71036.1
148,2.83,1.81,1.39,75.28,127.22,251.19,66502.5
149,2.77,1.76,1.44,75.26,127.25,270.78,76715.2
150,2.65,2.05,1.29,75.23,127.78,293.15,72189.9
151,2.74,1.86,1.51,75.84,127.23,290.77,76825.8
152,2.62,1.72,1.25,76.45,128.37,245.43,71912.7
153,2.74,2.25,1.21,75.59,127.46,263.59,64886.1
154,2.62,2.01,1.38,76.32,127.41,270.22,70722.4
155,2.77,2.15,1.56,75.56,128.17,261.67,65998.3
156,2.82,2.09,1.51,75.50,128.49,286.96,68671.0
157,2.62,1.92,1.60,75.93,128.22,265.79,70151.7
158,2.78,1.89,1.65,76.04,128.05,257.04,70219.0
159,2.82,2.09,1.37,75.48,128.28,272.75,75845.7
160,2.55,2.16,1.52,75.62,127.26,278.99,69834.6
161,2.55,2.11,1.33,75.28,127.70,263.18,73741.1
162,2.87,1.98,1.28,75.67,128.20,254.22,67240.3
163,2.71,1.77,1.58,75.27,127.40,283.69,72257.3
164,2.63,1.72,1.41,76.37,128.42,249.81,73706.7
165,2.50,2.09,1.39,75.32,128.03,263.32,73433.8
166,2.54,2.08,1.55,75.53,128.57,285.01,68855.1
167,2.72,2.24,1.52,75.35,127.62,271.18,75198.2
168,2.72,2.18,1.24,76.08,127.81,274.71,65620.3
169,2.70,1.89,1.49,75.82,127.24,291.03,69837.5
170,2.60,1.75,1.59,75.22,127.58,268.12,64570.0
171,2.51,1.92,1.21,75.52,128.55,264.72,64412.3
172,2.86,1.90,1.39,75.46,127.71,253.70,67114.5
173,2.79,1.85,1.58,75.58,128.17,242.06,71304.6
174,2.74,2.05,1.55,76.34,127.54,246.75,71139.8
175,2.68,1.94,1.56,75.96,128.16,240.98,65792.9
176,2.55,1.94,1.46,75.52,128.49,264.38,65851.5
177,2.88,2.26,1.47,76.00,127.42,250.54,76238.1
178,2.82,2.30,1.68,75.97,127.86,242.35,76421.9
179,2.84,2.05,1.74,75.61,127.72,275.38,70366.3
180,2.57,2.23,1.62,76.06,127.62,284.45,71345.9
181,2.86,1.89,1.34,75.67,127.64,256.67,76262.9
182,2.87,1.93,1.71,76.09,127.67,267.61,66408.1
183,2.84,2.13,1.70,76.26,127.37,258.53,72347.5
184,2.85,2.05,1.27,76.52,128.14,256.81,64775.2
185,2.76,1.72,1.34,75.65,127.29,241.32,66371.4
186,2.75,1.82,1.26,76.39,127.28,257.82,69184.9
187,2.89,2.28,1.75,75.25,128.41,290.82,67850.8
188,2.88,1.81,1.30,75.80,128.30,279.12,65689.8
189,2.79,1.70,1.28,75.97,128.59,259.78,75364.1
190,2.80,1.92,1.45,75.70,127.77,292.35,67546.1
191,2.84,1.74,1.70,76.10,127.63,248.22,75376.9
192,2.72,1.84,1.28,76.20,127.69,248.60,71722.9
193,2.72,1.84,1.34,75.89,128.11,288.87,71376.7
194,2.60,1.78,1.43,75.30,127.81,288.31,70427.3
195,2.70,1.99,1.61,76.38,128.47,273.24,66459.3
196,2.78,1.92,1.70,76.36,127.31,253.26,71887.7
197,2.60,2.19,1.34,75.37,127.85,256.76,63092.9
198,2.87,2.25,1.45,75.27,128.56,281.10,69216.6
199,2.71,2.25,1.77,75.50,127.87,274.36,75457.9
200,2.82,1.77,1.77,75.89,128.07,265.20,67494.2
201,2.65,2.07,1.57,76.27,128.36,285.91,67109.6
202,2.58,2.12,1.54,75.80,127.33,257.74,74976.5
203,2.80,1.73,1.48,75.46,128.12,242.33,63982.3
204,2.80,1.86,1.46,76.27,127.41,261.60,68346.2
205,2.60,1.98,1.37,76.57,128.55,256.15,67906.4
206,2.79,1.97,1.44,75.28,127.75,289.09,69674.7
207,2.51,2.06,1.26,76.04,127.59,284.29,70500.6
208,2.71,2.00,1.75,76.49,127.84,261.78,63192.5
209,2.76,1.92,1.42,75.24,128.42,261.59,63231.5
210,2.72,2.10,1.78,75.90,127.89,257.45,74958.7
211,2.83,2.23,1.51,76.13,127.89,271.13,73311.8
212,2.63,1.75,1.28,76.21,127.45,248.33,72915.2
213,2.70,2.17,1.28,76.46,127.72,255.42,70598.4
214,2.84,1.81,1.50,75.55,127.64,279.88,65012.8
215,2.55,1.98,1.42,75.24,128.00,257.76,70115.0
216,2.51,1.94,1.29,75.89,128.16,244.10,63487.8
217,2.57,1.78,1.39,75.30,128.14,276.12,72840.4
218,2.60,2.09,1.36,76.44,128.18,282.86,69312.0
219,2.82,2.18,1.38,76.01,128.22,285.99,68275.3
220,2.77,1.97,1.49,76.11,127.33,275.83,63299.7
221,2.77,1.90,1.34,75.90,127.53,268.70,69197.1
222,2.70,2.28,1.32,76.06,128.40,277.66,68865.5
223,2.60,2.20,1.65,76.39,128.21,279.26,64620.1
224,2.78,1.88,1.66,75.49,127.91,274.48,70102.8
225,2.74,2.13,1.66,75.90,127.26,265.52,71818.6
226,2.58,1.94,1.58,75.76,127.32,256.95,74746.5
227,2.89,2.14,1.61,76.33,127.30,266.92,72602.1
228,2.70,2.18,1.60,76.47,128.02,242.05,66240.8
229,2.85,1.95,1.56,75.31,127.61,245.13,73317.4
230,2.79,2.24,1.74,75.88,128.29,244.26,76767.6
231,2.52,2.13,1.49,76.10,128.16,256.04,69032.3
232,2.83,2.23,1.63,75.46,128.21,262.36,66349.4
233,2.62,1.70,1.66,76.22,127.38,289.59,73314.9
234,2.60,2.03,1.61,75.29,127.69,288.56,69579.7
235,2.53,2.10,1.24,75.79,127.25,286.70,73632.3
236,2.62,2.09,1.54,76.18,127.64,271.94,71232.0
237,2.83,1.74,1.58,76.36,128.31,258.63,73941.4
238,2.74,2.27,1.36,76.58,127.63,251.72,73138.0
239,2.75,1.99,1.64,76.18,128.55,286.25,70212.9
240,2.77,1.78,1.54,75.55,127.61,268.97,72917.9
241,2.55,1.84,1.59,75.87,128.35,281.81,64029.4
242,2.76,2.10,1.64,75.52,127.43,289.49,64044.6
243,2.70,1.86,1.49,76.53,128.47,288.17,63776.8
244,2.62,2.15,1.77,76.03,127.97,242.13,64560.8
245,2.61,1.84,1.46,75.37,127.77,269.97,72226.4
246,2.65,2.12,1.29,76.17,128.12,275.21,64713.9
247,2.58,2.30,1.54,76.08,128.17,258.63,64462.2
248,2.63,2.19,1.27,75.68,128.32,281.62,65996.1
249,2.53,1.89,1.62,76.49,128.50,291.50,76187.5
250,2.84,1.84,1.26,76.31,127.98,256.31,68295.7
251,2.86,1.96,1.30,75.54,128.15,245.72,74813.3
252,2.86,1.76,1.66,75.82,127.30,243.95,76849.4
253,2.62,2.16,1.43,75.58,128.41,266.65,76145.6
254,2.79,2.24,1.60,76.11,127.84,250.03,65779.9
255,2.52,1.94,1.40,76.35,128.53,243.22,73038.5
256,2.53,2.17,1.55,75.40,128.29,261.98,70928.2
257,2.50,1.83,1.73,75.97,128.33,286.77,69589.1
258,2.52,1.72,1.21,75.73,127.56,241.85,74067.7
259,2.78,1.93,1.21,75.21,128.29,278.12,64527.7
260,2.55,1.72,1.61,75.48,127.98,293.69,65502.8
261,2.68,2.08,1.64,75.26,127.88,271.37,63182.2
262,2.50,2.00,1.68,75.74,127.45,280.91,64148.8
263,2.85,2.17,1.74,75.61,128.26,285.83,63043.4
264,2.89,1.97,1.51,75.90,128.28,240.69,76508.9
265,2.88,1.76,1.23,76.48,127.89,257.36,63334.8
266,2.53,2.25,1.43,76.06,127.24,242.25,74789.7
267,2.65,2.09,1.23,76.23,128.03,280.16,64283.4
268,2.90,2.04,1.49,76.42,127.79,261.14,65785.9
269,2.69,1.76,1.25,76.51,127.89,268.96,66259.1
270,2.84,1.96,1.60,75.85,127.39,280.00,67752.8
271,2.75,2.23,1.79,76.55,127.98,264.10,70057.1
272,2.70,2.21,1.40,76.35,128.09,259.02,73523.7
273,2.60,2.11,1.20,76.15,127.26,240.66,76043.0
274,2.90,2.27,1.52,75.86,128.54,247.55,67777.2
275,2.63,1.97,1.28,76.18,127.47,258.52,70416.4
276,2.62,2.11,1.77,76.27,127.36,274.77,73381.4
277,2.71,2.08,1.44,76.06,127.64,283.82,76273.9
278,2.69,2.25,1.74,76.18,128.08,277.09,71424.3
279,2.83,2.24,1.74,75.87,127.39,250.01,65290.1
280,2.69,1.89,1.21,75.76,127.37,283.66,74065.1
281,2.53,1.89,1.32,75.63,127.35,273.66,66509.2
282,2.69,1.70,1.40,76.11,127.62,289.69,70055.4
283,2.83,2.24,1.26,75.71,128.59,282.06,68750.7
284,2.52,2.29,1.27,75.54,127.41,270.88,70246.5
285,2.90,1.81,1.63,76.47,128.40,260.77,65226.1
286,2.68,1.96,1.44,75.67,127.43,249.89,64534.8
287,2.55,2.10,1.58,75.71,128.35,254.41,63383.1
288,2.64,1.82,1.47,76.22,127.86,249.67,72478.8
289,2.60,2.20,1.33,75.45,127.65,242.03,65007.7
290,2.72,2.24,1.43,76.48,128.03,275.95,65756.3
291,2.51,1.81,1.66,76.02,127.38,255.16,65663.2
292,2.74,2.14,1.42,76.12,128.21,277.72,68532.2
293,2.85,2.19,1.77,75.68,127.26,257.62,63481.6
294,2.57,2.06,1.60,75.99,127.28,270.08,68589.3
295,2.71,1.91,1.21,75.50,128.39,243.82,66978.6
296,2.59,2.23,1.52,76.32,128.05,267.40,65314.1
297,2.70,2.27,1.39,76.24,127.40,246.24,76347.5
298,2.75,1.79,1.73,76.45,127.81,246.23,71349.8
299,2.70,1.96,1.65,76.36,128.08,293.71,72504.8
300,2.86,2.18,1.20,75.73,127.30,269.26,72764.0
301,2.76,2.17,1.43,75.87,127.59,249.24,71630.3
302,2.55,1.75,1.45,76.05,127.72,247.21,75605.6
303,2.86,1.73,1.20,75.93,127.94,288.82,66532.0
304,2.88,1.86,1.59,75.69,127.66,258.62,64574.2
305,2.58,1.90,1.57,75.45,128.51,273.24,66340.1
306,2.72,1.83,1.53,75.72,128.20,266.28,68172.5
307,2.82,2.04,1.72,75.38,127.50,283.27,64266.2
308,2.84,2.22,1.70,75.65,128.02,241.72,69458.1
309,2.70,1.95,1.72,75.24,127.91,272.16,64770.6
310,2.53,2.29,1.37,75.42,127.38,265.43,73875.8
311,2.54,1.86,1.49,76.13,127.24,259.91,72087.8
312,2.69,2.07,1.32,75.64,128.22,244.16,73817.1
313,2.78,2.22,1.58,75.66,127.75,262.10,69750.1
314,2.74,1.99,1.51,76.07,127.84,277.85,75997.5
315,2.89,2.05,1.47,76.07,127.82,261.92,68290.2
316,2.78,2.09,1.27,76.08,127.58,245.04,69672.5
317,2.68,2.06,1.51,75.55,128.11,279.02,75428.5
318,2.83,2.04,1.46,76.60,127.39,275.24,70138.4
319,2.79,1.79,1.48,75.65,127.73,256.98,69053.8
320,2.69,2.30,1.73,75.76,128.26,292.17,68246.8
321,2.61,2.19,1.49,76.54,128.51,275.58,76594.9
322,2.76,2.17,1.34,76.56,128.32,263.94,69434.0
323,2.68,1.82,1.60,75.37,128.58,245.55,74760.5
324,2.76,1.77,1.48,75.58,128.21,285.29,68985.0
325,2.90,1.74,1.47,75.99,128.25,265.05,75749.7
326,2.53,2.26,1.31,76.36,128.57,241.29,67258.2
327,2.78,2.09,1.31,75.25,127.41,268.49,75212.1
328,2.66,1.83,1.77,75.31,127.44,253.22,63834.3
329,2.87,1.99,1.76,75.77,128.14,253.33,70555.0
330,2.68,2.28,1.22,75.58,127.52,261.23,63351.5
331,2.63,2.08,1.51,75.31,128.53,257.19,66576.5
332,2.74,2.07,1.30,76.14,128.00,271.29,71568.9
333,2.77,1.90,1.79,76.17,128.20,264.05,64731.8
334,2.69,2.28,1.61,75.26,128.12,292.72,69405.2
335,2.84,1.79,1.50,75.92,127.52,260.70,72195.6
336,2.56,1.75,1.65,76.04,127.73,258.19,71902.0
337,2.88,1.93,1.24,76.15,127.36,255.69,66704.9
338,2.81,2.09,1.46,75.53,127.34,246.86,75039.9
339,2.55,2.03,1.42,75.38,128.34,261.29,63662.2
340,2.59,1.80,1.40,76.36,128.55,247.30,72710.5
341,2.61,1.79,1.22,75.93,128.53,285.62,73522.6
342,2.90,2.08,1.77,75.28,127.89,260.99,74480.5
343,2.75,1.76,1.66,75.43,127.50,290.21,73363.0
344,2.90,1.72,1.47,76.15,128.05,289.84,63042.2
345,2.61,2.21,1.53,75.69,128.28,279.32,72732.3
346,2.77,2.12,1.43,76.19,128.25,280.16,63459.9
347,2.67,1.86,1.21,76.54,128.07,242.82,66467.2
348,2.72,2.15,1.61,75.44,127.97,241.15,64993.9
349,2.56,2.15,1.34,76.43,127.97,273.33,76115.4
350,2.68,1.95,1.37,76.47,128.12,268.05,71488.9
351,2.90,2.20,1.55,76.55,127.58,247.55,63977.6
352,2.60,1.99,1.23,76.07,127.66,270.80,63292.6
353,2.52,1.92,1.69,76.57,127.38,288.24,63453.4
354,2.60,1.82,1.49,75.23,128.31,278.99,63416.1
355,2.60,2.19,1.71,75.72,128.19,279.82,65742.5
356,2.59,1.97,1.34,76.23,128.40,293.58,76521.4
357,2.65,1.73,1.33,75.91,127.73,247.63,70361.7
358,2.84,2.23,1.61,76.01,128.43,259.01,75273.5
359,2.74,2.20,1.60,76.14,127.26,266.03,72811.1
360,2.86,2.27,1.50,75.39,127.77,248.81,71542.5
361,2.64,2.02,1.46,75.72,127.79,288.87,73461.9
362,2.80,1.96,1.24,75.35,128.51,287.53,63388.8
363,2.69,1.78,1.27,76.59,127.44,264.85,67935.1
364,2.62,1.89,1.67,76.31,128.31,288.69,64712.7
365,2.78,2.14,1.72,75.35,127.75,255.78,76874.2
366,2.72,1.72,1.39,76.06,127.61,270.67,75201.6
367,2.69,2.02,1.61,75.51,128.38,260.48,75640.3
368,2.50,1.88,1.23,76.06,127.45,285.57,67019.5
369,2.78,2.08,1.80,76.56,127.89,290.48,65764.8
370,2.72,2.22,1.58,75.83,127.53,287.02,66417.5
371,2.66,2.09,1.29,76.23,128.11,282.62,64980.6
372,2.57,2.11,1.39,75.44,128.07,255.64,69601.8
373,2.57,2.02,1.24,75.89,128.14,253.88,65192.4
374,2.81,1.75,1.33,75.55,128.44,241.47,63919.8
375,2.52,2.08,1.50,75.41,128.59,291.78,68975.9
376,2.77,2.20,1.77,75.59,128.05,249.63,72332.6
377,2.74,1.98,1.59,75.93,128.11,275.22,66095.3
378,2.87,1.73,1.27,75.72,127.52,258.78,69791.4
379,2.54,1.73,1.37,75.91,127.23,254.44,70010.4
380,2.87,2.04,1.33,75.61,128.05,244.75,72208.8
381,2.65,1.87,1.61,75.48,127.60,262.05,73473.5
382,2.87,1.75,1.52,76.29,127.23,241.48,75563.8
383,2.68,2.10,1.35,75.90,128.33,276.58,63627.8
384,2.81,2.09,1.51,75.85,127.76,274.26,76688.6
385,2.50,1.75,1.55,76.03,128.28,276.27,63958.7
386,2.68,2.10,1.21,75.97,127.59,284.95,64001.6
387,2.72,1.85,1.36,76.33,128.55,253.67,74105.7
388,2.66,1.79,1.31,76.15,127.28,248.51,73470.5
389,2.90,2.05,1.67,76.09,127.55,241.77,63467.7
390,2.64,2.02,1.25,75.23,127.35,287.66,68316.8
391,2.62,2.06,1.24,76.50,128.20,290.44,72745.0
392,2.64,2.04,1.33,76.07,128.58,292.21,70416.7
393,2.52,2.25,1.76,75.54,127.70,286.96,69200.7
394,2.88,1.92,1.66,75.69,127.36,286.76,66117.1
395,2.87,1.75,1.65,76.56,128.23,264.01,63370.0
396,2.66,2.14,1.34,76.06,128.12,262.88,63428.5
397,2.58,1.71,1.46,75.25,128.14,269.74,70996.3
398,2.71,2.00,1.64,76.26,127.80,252.42,69105.8
399,2.53,2.22,1.20,75.64,127.70,270.90,75807.0
400,2.86,1.90,1.31,75.60,128.49,264.97,65699.5
401,2.82,2.19,1.36,76.05,128.56,262.90,71242.1
402,2.81,2.10,1.40,75.97,127.31,251.77,75302.6
403,2.81,2.02,1.25,75.79,127.92,262.98,70407.9
404,2.76,1.73,1.61,75.39,128.53,243.12,66490.7
405,2.53,1.93,1.49,75.23,128.56,253.12,76294.2
406,2.77,1.98,1.52,75.81,128.41,276.81,64032.5
407,2.78,2.15,1.53,76.58,127.59,251.39,64497.1
408,2.50,2.11,1.61,76.11,128.08,277.84,68984.8
409,2.50,2.02,1.63,75.66,128.03,245.37,71347.9
410,2.71,2.29,1.38,76.02,128.03,282.69,65057.2
411,2.78,1.75,1.72,75.36,127.86,267.79,68443.9
412,2.65,2.12,1.64,75.99,127.22,269.99,71895.7
413,2.54,1.73,1.50,76.11,128.21,272.13,75892.3
414,2.79,2.14,1.75,76.52,128.14,244.42,66180.9
415,2.63,1.93,1.78,75.22,127.72,273.66,71330.4
416,2.79,2.24,1.23,75.30,127.62,284.96,63115.2
417,2.63,1.90,1.74,75.55,127.41,280.89,66494.2
418,2.87,1.91,1.24,76.40,127.21,259.76,66266.4
419,2.67,1.74,1.73,75.32,127.43,256.91,74199.6
420,2.63,2.13,1.71,76.60,127.86,278.00,76709.8
421,2.56,2.10,1.28,76.06,127.37,277.28,69068.0
422,2.79,1.71,1.63,75.25,128.11,256.27,65240.1
423,2.60,2.06,1.30,75.77,127.77,286.80,72660.1
424,2.62,1.85,1.72,75.93,127.41,272.83,69213.2
425,2.78,1.91,1.55,75.25,127.40,248.70,72347.1
426,2.84,2.27,1.48,75.85,127.35,289.97,63260.1
427,2.66,1.75,1.54,75.67,127.75,251.66,73574.5
428,2.83,2.25,1.66,75.60,127.87,255.34,67469.0
429,2.74,1.97,1.35,75.53,128.58,266.28,76369.4
430,2.56,2.26,1.65,75.79,127.63,247.36,70211.8
431,2.60,1.91,1.45,75.82,127.29,242.56,70353.9
432,2.73,2.00,1.32,76.40,128.21,254.41,76654.5
433,2.63,1.78,1.41,75.77,127.73,278.97,69780.3
434,2.64,2.20,1.51,75.33,128.02,245.02,70423.2
435,2.72,2.19,1.71,76.28,127.72,245.73,64530.9
436,2.53,2.03,1.36,76.30,127.80,262.17,75362.0
437,2.77,1.90,1.68,75.55,128.13,241.67,73320.0
438,2.61,2.26,1.34,75.47,127.65,264.47,65916.8
439,2.62,2.00,1.76,75.38,127.39,262.37,69521.9
440,2.78,1.86,1.70,75.44,127.89,271.29,74687.7
441,2.81,1.74,1.37,76.41,127.21,291.03,75774.8
442,2.64,1.99,1.39,76.28,127.85,262.30,72194.7
443,2.67,1.94,1.30,76.33,127.62,287.25,66001.4
444,2.87,1.95,1.20,75.89,127.42,242.21,76545.0
445,2.52,1.90,1.78,76.02,127.61,291.08,72612.0
