sample,outer_wall_tickness,inside_wall_side_tickness,inside_wall_middle_tickness,height,width,sigma0,youngs
 51,2.51,2.17,1.26,75.52,128.51,256.29,66617.2
 52,2.77,2.13,1.48,76.43,128.31,277.11,67850.9
 53,2.64,2.11,1.75,75.29,127.39,246.16,75114.0
 54,2.59,2.04,1.69,76.05,127.95,285.17,68279.0
 55,2.65,2.30,1.40,76.07,127.28,249.65,73328.8
 56,2.50,2.13,1.71,76.29,128.45,291.80,70679.8
 57,2.53,2.22,1.41,76.50,128.44,254.24,76700.5
 58,2.78,2.18,1.27,75.52,127.60,270.02,73491.3
 59,2.68,1.95,1.76,76.37,128.41,245.01,73725.7
 60,2.83,1.91,1.29,75.61,127.60,292.42,66198.7
 61,2.89,2.01,1.79,76.47,127.67,265.41,74961.4
 62,2.64,1.73,1.64,75.25,128.51,258.18,76672.9
 63,2.70,2.00,1.64,76.31,128.12,263.52,71607.4
 64,2.80,1.73,1.56,76.05,128.33,272.36,66513.9
 65,2.85,1.93,1.63,76.09,127.85,257.36,73060.5
 66,2.80,1.96,1.63,76.15,127.30,272.28,70581.3
 67,2.88,2.14,1.58,75.21,128.56,261.10,72685.3
 68,2.76,2.29,1.68,75.98,128.49,286.75,68024.1
 69,2.65,2.15,1.55,75.33,128.05,256.51,64735.1
 70,2.51,1.87,1.40,75.86,128.45,268.13,65876.5
 71,2.56,2.17,1.66,76.29,127.84,255.22,75175.7
 72,2.57,2.26,1.55,76.24,128.19,275.38,70921.6
 73,2.76,1.75,1.63,76.05,128.20,255.60,74199.4
 74,2.80,1.94,1.54,75.43,127.61,282.58,64322.0
 75,2.88,1.74,1.31,76.48,127.54,242.19,65476.8
 76,2.79,2.25,1.70,75.58,127.42,268.99,68319.9
 77,2.64,1.73,1.56,75.90,128.41,263.81,73265.2
 78,2.65,2.11,1.29,75.26,127.84,289.11,70753.4
 79,2.86,2.15,1.71,75.73,128.01,270.23,69368.6
 80,2.51,2.17,1.51,76.28,128.24,283.76,66228.4
 81,2.76,1.81,1.45,75.39,128.01,244.51,67246.2
 82,2.51,2.12,1.24,75.55,127.89,270.60,76031.4
 83,2.75,2.00,1.60,75.21,127.84,269.27,65244.7
 84,2.62,1.86,1.29,75.73,127.83,275.95,67875.5
 85,2.79,1.92,1.23,75.31,128.38,246.30,66397.8
 86,2.63,2.18,1.20,75.51,127.39,245.91,65186.2
 87,2.52,1.79,1.70,75.43,127.67,286.12,63116.5
 88,2.54,1.95,1.35,76.45,128.39,280.68,75634.6
 89,2.57,2.00,1.22,76.27,127.59,253.12,71668.1
 90,2.52,1.76,1.46,75.40,127.75,272.50,65393.3
 91,2.68,2.14,1.22,75.38,128.27,250.32,76287.2
 92,2.68,2.10,1.59,76.23,128.33,281.52,65209.6
 93,2.82,1.77,1.43,76.58,127.90,246.04,76984.7
 94,2.77,2.22,1.35,75.59,127.58,284.71,73880.7
 95,2.72,2.28,1.56,76.28,128.11,275.39,73095.5
 96,2.82,2.08,1.32,75.39,127.72,261.03,72598.9
 97,2.54,2.24,1.56,75.45,127.62,255.71,74653.2
 98,2.77,2.14,1.79,75.72,128.50,285.61,74041.8
 99,2.71,2.04,1.64,75.28,128.51,278.82,73462.8
100,2.85,1.92,1.76,75.40,127.33,249.61,73907.0
